function, function_count, top_num_args, top_num_args_count, top_keyword, top_keyword_count
matplotlib.table.Table, 1, 2, 1, bbox, 1
matplotlib.axes.Axes.scatter.__doc__.replace, 1, 2, 1, , 
matplotlib.axes.Axes.hist.__doc__.replace, 1, 2, 1, , 
matplotlib.pyplot.Slider, 1, 6, 1, valfmt, 1
matplotlib.pyplot.np.linspace, 1, 2, 1, , 
matplotlib.backends.backend_qt4.FigureCanvasQTAgg, 1, 1, 1, , 
matplotlib.cm.Dark2, 1, 1, 1, , 
matplotlib.cm.Spectral, 1, 1, 1, , 
matplotlib.axes3d.Axes3D, 1, 1, 1, , 
matplotlib.widgets.CheckButtons, 1, 3, 1, , 
matplotlib.pyplot.viridis, 1, 0, 1, , 
matplotlib.pylab.matshow, 1, 2, 1, aspect, 1
matplotlib.path.Path.make_compound_path, 1, 1, 1, , 
matplotlib.backends.backend_agg.FigureCanvas, 1, 1, 1, , 
matplotlib.widgets.Cursor, 1, 6, 1, color, 1
matplotlib.gridspec.update, 1, 2, 1, hspace, 1
matplotlib.pyplot.plot_one, 1, 1, 1, , 
matplotlib.path.Path.circle, 1, 2, 1, , 
matplotlib.axes.Axes.draw, 1, 3, 1, renderer, 1
matplotlib.axes.Axes._update_title_position, 1, 2, 1, , 
matplotlib.axes.Axes.cla, 1, 1, 1, , 
matplotlib.axes.Axes.autoscale_view, 1, 4, 1, scalex, 1
matplotlib.axes.Axes._gen_axes_spines, 1, 4, 1, locations, 1
matplotlib.axes.Axes.contourf, 1, 3, 1, null, 1
matplotlib.axes.Axes.scatter, 1, 3, 1, null, 1
matplotlib.axes.Axes.pcolor, 1, 3, 1, null, 1
matplotlib.axes.Axes.quiver, 1, 7, 1, null, 1
matplotlib.axes.Axes.streamplot, 1, 6, 1, null, 1
matplotlib.pyplot.matplotlib.patches.Polygon, 1, 3, 1, color, 1
matplotlib.image.NonUniformImage, 1, 2, 1, null, 1
matplotlib.patches.Path, 1, 1, 1, , 
matplotlib.image.fromarray, 1, 2, 1, , 
matplotlib.backends.backend_wxagg.FigureCanvasWxAgg.__init__, 1, 4, 1, , 
matplotlib.backend_bases.LocationEvent, 1, 5, 1, , 
matplotlib.backends.backend_wxagg.NavigationToolbar2WxAgg.set_cursor, 1, 2, 1, , 
matplotlib.backends.backend_wxagg.NavigationToolbar2WxAgg.zoom, 1, 2, 1, , 
matplotlib.backends.backend_wxagg.NavigationToolbar2WxAgg.pan, 1, 2, 1, , 
matplotlib.mlab.rec_keep_fields, 1, 2, 1, , 
matplotlib.backends.backend_gtkagg.NavigationToolbar2GTKAgg, 1, 2, 1, , 
matplotlib.tight_layout.get_subplotspec_list, 1, 2, 1, grid_spec, 1
matplotlib.tight_layout.get_renderer, 1, 1, 1, , 
matplotlib.tight_layout.get_tight_layout_figure, 1, 5, 1, pad, 1
matplotlib.rc_params_from_file, 1, 2, 1, use_default_template, 1
matplotlib.xlim, 1, 1, 1, , 
matplotlib.axvline, 1, 4, 1, color, 1
matplotlib.title, 1, 1, 1, , 
matplotlib.savefig, 1, 2, 1, dpi, 1
matplotlib.clf, 1, 0, 1, , 
matplotlib.close, 1, 0, 1, , 
matplotlib.pylab.nipy_spectral, 1, 0, 1, , 
matplotlib.dates.julian2num, 1, 1, 1, , 
matplotlib.pyplot.jplot, 1, 2, 1, , 
matplotlib.cm.revcmap, 1, 1, 1, , 
matplotlib.pyplot.jet, 1, 0, 1, , 
matplotlib.pyplot.rcParams.iterkeys, 1, 0, 1, , 
matplotlib.colors.remove, 1, 0, 1, , 
matplotlib.widgets.RadioButtons, 1, 3, 1, activecolor, 1
matplotlib.pyplot.matplotlib.ticker.ScalarFormatter, 1, 1, 1, useOffset, 1
matplotlib.pyplot.flag, 1, 0, 1, , 
matplotlib.numpy.sqrt, 1, 1, 1, , 
matplotlib.numpy.sort, 1, 2, 1, order, 1
matplotlib.backends.backend_qt4agg.FigureCanvasQTAgg.resizeEvent, 1, 2, 1, , 
matplotlib.pyplot.cohere, 1, 2, 1, null, 1
matplotlib.pyplot.csd, 1, 2, 1, null, 1
matplotlib.pyplot.xcorr, 1, 2, 1, null, 1
matplotlib.test, 1, 0, 1, , 
matplotlib.colors.from_levels_and_colors, 1, 3, 1, extend, 1
