function, function_count, top_num_args, top_num_args_count, top_keyword, top_keyword_count
numpy.ma.row_stack, 1, 1, 1, , 
numpy.lax_numpy._is_advanced_int_indexer_without_slices, 1, 1, 1, , 
numpy.lax_numpy.broadcast_arrays, 1, 1, 1, , 
numpy.lax_numpy._canonicalize_tuple_index, 1, 2, 1, , 
numpy.lax_numpy._is_slice_none, 1, 1, 1, , 
numpy.lax_numpy._static_idx, 1, 2, 1, , 
numpy.lax_numpy.arange, 1, 4, 1, dtype, 1
numpy.lax_numpy.max, 1, 1, 1, , 
numpy.lax_numpy.swapaxes, 1, 3, 1, , 
numpy.lax_numpy.conj, 1, 1, 1, , 
numpy.lax_numpy.real, 1, 1, 1, , 
numpy.lax_numpy.eye, 1, 3, 1, dtype, 1
numpy.lax_numpy.matmul, 1, 2, 1, , 
numpy.lax_numpy.full, 1, 2, 1, , 
numpy.ndarray.sum, 1, 3, 1, null, 1
numpy.char.array, 1, 2, 1, itemsize, 1
numpy.beta, 1, 3, 1, , 
numpy.rand, 1, 1, 1, , 
numpy.core.multiarray._get_ndarray_c_version, 1, 0, 1, , 
numpy.core._multiarray_umath._get_ndarray_c_version, 1, 0, 1, , 
numpy.gcd, 1, 2, 1, , 
numpy.float.is_integer, 1, 1, 1, , 
numpy.distutils.fcompiler.new_fcompiler, 1, 2, 1, c_compiler, 1
numpy.distutils.core.get_distribution, 1, 1, 1, always, 1
numpy.distutils.ccompiler.CCompiler_spawn, 1, 3, 1, display, 1
numpy.distutils.ccompiler.replace_method, 1, 3, 1, , 
numpy.ma.clip, 1, 3, 1, , 
numpy.ma.MaskedArray.__get_state__, 1, 1, 1, , 
numpy.ma.MaskedArray.__set_state__, 1, 2, 1, , 
numpy.ndarray.tofile, 1, 2, 1, , 
numpy.ctypeslib._typecodes.copy, 1, 0, 1, , 
numpy.atan, 1, 1, 1, , 
numpy.float64.__new__, 1, 2, 1, , 
numpy.char._len, 1, 1, 1, , 
numpy.argax, 1, 1, 1, , 
numpy.ma.core.MaskedConstant, 1, 0, 1, , 
numpy.register_handlers, 1, 0, 1, , 
numpy.unregister_handlers, 1, 0, 1, , 
numpy.flatten, 1, 1, 1, , 
numpy.r_, 1, 2, 1, , 
numpy.meshpoints, 1, 2, 1, , 
numpy.core.defchararray.strip, 1, 1, 1, , 
numpy.lib.recfunctions.rename_fields, 1, 2, 1, , 
numpy.unique1d, 1, 2, 1, return_inverse, 1
numpy.polynomial.polyfit, 1, 4, 1, w, 1
numpy.minimum.outer, 1, 2, 1, , 
numpy.fft.fftpack.fft, 1, 1, 1, , 
numpy.slerp_vectorized, 1, 3, 1, , 
numpy.squad_vectorized, 1, 5, 1, , 
numpy.__dict__.get, 1, 1, 1, , 
numpy.trasnpose, 1, 1, 1, , 
numpy.vecorize, 1, 1, 1, , 
numpy.ma.MaskedArray.argmax, 1, 2, 1, axis, 1
numpy.ma.MaskedArray.argmin, 1, 2, 1, axis, 1
numpy.core.umath.minimum, 1, 2, 1, , 
numpy.ndarray.reshape, 1, 3, 1, order, 1
numpy.linalg.lu, 1, 1, 1, , 
numpy.as_ndarray, 1, 1, 1, , 
numpy.hstact, 1, 1, 1, , 
numpy.randn, 1, 2, 1, , 
numpy.atleast2d, 1, 1, 1, , 
numpy.lib.index_tricks.nd_grid, 1, 0, 1, , 
numpy.polynomial.polynomial.polyder, 1, 1, 1, , 
numpy.typeDict.values, 1, 0, 1, , 
numpy.NXroot, 1, 1, 1, , 
numpy.lib.add_newdoc_ufunc, 1, 2, 1, , 
numpy.lib.format.read_magic, 1, 1, 1, , 
numpy.lib.format.read_array_header_1_0, 1, 1, 1, , 
numpy.typeDict.items, 1, 0, 1, , 
numpy.s, 1, 1, 1, , 
numpy.ma.extras.median, 1, 2, 1, axis, 1
numpy.ma.sinh, 1, 1, 1, , 
numpy.prctile, 1, 2, 1, , 
numpy.fft.fftpack.irfft, 1, 2, 1, norm, 1
numpy.ma.conjugate, 1, 1, 1, , 
numpy.ndarray.__str__, 1, 1, 1, , 
numpy.ma.argsort, 1, 1, 1, , 
numpy.core.arrayprint.array2string, 1, 3, 1, null, 1
numpy.sctypes.items, 1, 0, 1, , 
numpy.core.fromnumeric.prod, 1, 1, 1, , 
numpy.ma.mrecords.fromrecords, 1, 3, 1, mask, 1
numpy.char.rjust, 1, 2, 1, , 
numpy.ndarray.__pow__, 1, 2, 1, , 
numpy.unsqueeze, 1, 2, 1, , 
numpy.logaddexp2.reduce, 1, 3, 1, axis, 1
numpy.oldnumeric.multiply.reduce, 1, 1, 1, , 
numpy.oldnumeric.outerproduct, 1, 2, 1, , 
numpy.cuda.Device, 1, 1, 1, , 
numpy.math.asin, 1, 1, 1, , 
numpy.math.acos, 1, 1, 1, , 
numpy.version.full_version.split, 1, 1, 1, , 
numpy.arrray, 1, 1, 1, , 
numpy.subtract.accumulate, 1, 1, 1, , 
numpy.ascontigousarray, 1, 1, 1, , 
numpy.math.log10, 1, 1, 1, , 
numpy.math.log2, 1, 1, 1, , 
numpy.math.floor, 1, 1, 1, , 
numpy.nancumprod, 1, 1, 1, , 
numpy.polynomial.Chebyshev.fromroots, 1, 1, 1, , 
numpy.polynomial.Legendre.fromroots, 1, 1, 1, , 
numpy.float64.mro, 1, 0, 1, , 
numpy.core._internal._getintp_ctype, 1, 0, 1, , 
numpy.lib.stride_tricks._broadcast_shape, 1, 1, 1, , 
numpy.core.numeric.issubdtype, 1, 2, 1, , 
numpy.core.numeric.all, 1, 1, 1, , 
numpy.core.arrayprint.dtype_is_implied, 1, 1, 1, , 
numpy.core.arrayprint.dtype_short_repr, 1, 1, 1, , 
numpy.testing.assert_array_compare, 1, 6, 1, verbose, 1
numpy.core.numeric.ndarray.squeeze, 1, 2, 1, axis, 1
numpy.core.numeric.ndarray.flatten, 1, 2, 1, order, 1
numpy.core.numeric.ndarray.ravel, 1, 2, 1, order, 1
numpy.det, 1, 0, 1, , 
numpy.random.nolmal, 1, 1, 1, size, 1
numpy.ndarray.nonzero, 1, 1, 1, , 
numpy.float64.fromhex, 1, 1, 1, , 
numpy.lib.arraypad._as_pairs, 1, 3, 1, as_index, 1
numpy.split_matrix, 1, 2, 1, , 
numpy.split_vector, 1, 2, 1, , 
numpy.newaxis, 1, 0, 1, , 
numpy.matlib.transpose, 1, 1, 1, , 
numpy.one, 1, 2, 1, dtype, 1
numpy.multiply.at, 1, 3, 1, , 
numpy.maximum.at, 1, 3, 1, , 
numpy.logical_and.outer, 1, 2, 1, , 
numpy.expand_dism, 1, 2, 1, axis, 1
numpy.ma.compress_cols, 1, 1, 1, , 
numpy.ma.MaskedArray.__array_wrap__, 1, 3, 1, , 
numpy.read, 1, 1, 1, , 
numpy.matlib.identity, 1, 1, 1, , 
numpy.polynomial.laguerre.laggauss, 1, 1, 1, , 
numpy.polynomial.laguerre.lagvander, 1, 2, 1, , 
numpy.polynomial.legendre.legvander, 1, 2, 1, , 
numpy.matlib.eye, 1, 1, 1, , 
numpy.polynomial.legendre.legroots, 1, 1, 1, , 
numpy.core.numerictypes.find_common_type, 1, 2, 1, , 
numpy.ppmt, 1, 4, 1, , 
numpy.ipmt, 1, 4, 1, , 
numpy.pmt, 1, 3, 1, , 
numpy.matrix.copy, 1, 1, 1, , 
numpy.nan_like, 1, 1, 1, , 
numpy.multiply.reduceat, 1, 2, 1, , 
numpy.longfloat, 1, 1, 1, , 
numpy.error, 1, 1, 1, , 
numpy.np.exp, 1, 1, 1, , 
numpy.sctypes.values, 1, 0, 1, , 
numpy.bitwise_or.accumulate, 1, 1, 1, , 
numpy.distutils.system_info.get_shared_lib_extension, 1, 1, 1, , 
numpy.math.tanh, 1, 1, 1, , 
numpy.core.multiarray.correlate, 1, 3, 1, , 
numpy.core.arrayprint.set_printoptions, 1, 2, 1, null, 1
numpy.core.arrayprint.get_printoptions, 1, 0, 1, , 
numpy.ndarray.__getslice__, 1, 3, 1, , 
numpy.core.multiarray.dot, 1, 2, 1, , 
numpy.lib._iotools.NameValidator, 1, 0, 1, , 
numpy.matplotlib.colors.ListedColormap, 1, 1, 1, , 
numpy.ma.atleast_1d, 1, 1, 1, , 
numpy.format_float_scientific, 1, 3, 1, precision, 1
numpy.logical_or.accumulate, 1, 2, 1, axis, 1
numpy.matlib.randn, 1, 2, 1, , 
numpy.matlib.asmatrix, 1, 1, 1, , 
numpy.tri_indices_from, 1, 2, 1, , 
numpy.random.suffle, 1, 1, 1, , 
numpy.ctypeslib.as_ctypes_type, 1, 1, 1, , 
numpy.prd, 1, 1, 1, , 
numpy.bytes, 1, 1, 1, , 
numpy.testing.assert_array_max_ulp, 1, 4, 1, dtype, 1
numpy.polynomial.HermiteE, 1, 1, 1, , 
numpy.put_along_axis, 1, 4, 1, axis, 1
numpy.lib.arraysetops.setdiff1d, 1, 2, 1, , 
numpy.ufunc.reduce, 1, 2, 1, , 
numpy.polynomial.Hermite, 1, 1, 1, , 
numpy.__dict__.iteritems, 1, 0, 1, , 
numpy.ndarray.swapaxes, 1, 3, 1, , 
numpy.ma.MaskedArray.__array_finalize__, 1, 2, 1, , 
numpy.ma.MaskedArray._update_from, 1, 2, 1, , 
numpy.ma.MaskedArray.__getitem__, 1, 2, 1, , 
numpy.ma.MaskedArray.__setattr__, 1, 3, 1, , 
numpy.ma.masked_array.swapaxes, 1, 3, 1, , 
numpy.ma.arccos, 1, 1, 1, , 
numpy.lib.polynomial.poly1d, 1, 1, 1, , 
numpy.isfinte, 1, 1, 1, , 
numpy.sine, 1, 1, 1, , 
numpy.core.umath.multiply.reduce, 1, 5, 1, axis, 1
numpy.core.umath.logical_or.reduce, 1, 5, 1, axis, 1
numpy.core.umath.sqrt, 1, 2, 1, out, 1
numpy.core.numeric.conjugate, 1, 1, 1, , 
numpy.core.numeric.nonzero, 1, 1, 1, , 
numpy.core.numeric.zeros_like, 1, 1, 1, , 
numpy.core.numeric.logical_or.accumulate, 1, 1, 1, , 
numpy.core.numeric.log10, 1, 1, 1, , 
numpy.core.numeric.log2, 1, 1, 1, , 
numpy.core.numeric.power, 1, 2, 1, , 
numpy.core.numeric.arccos, 1, 1, 1, , 
numpy.core.numeric.arcsin, 1, 1, 1, , 
numpy.core.numeric.arctanh, 1, 1, 1, , 
numpy.numarray.info, 1, 3, 1, output, 1
numpy.ma.default_fill_value, 1, 1, 1, , 
numpy.core.multiarray.zeros, 1, 2, 1, , 
numpy.core.numeric.identity, 1, 2, 1, , 
numpy.core.multiarray.arange, 1, 4, 1, , 
numpy.core.multiarray.fromstring, 1, 3, 1, count, 1
numpy.core.fromnumeric.rank, 1, 1, 1, , 
numpy.core.fromnumeric.shape, 1, 1, 1, , 
numpy.core.fromnumeric.size, 1, 2, 1, , 
numpy.core.fromnumeric.choose, 1, 2, 1, , 
numpy.core.numeric.where, 1, 3, 1, , 
numpy.core.umath.not_equal, 1, 2, 1, , 
numpy.core.umath.logical_and, 1, 2, 1, , 
numpy.core.umath.minimum.outer, 1, 2, 1, , 
numpy.core.umath.maximum.outer, 1, 2, 1, , 
numpy.core.fromnumeric.sort, 1, 2, 1, , 
numpy.core.fromnumeric.diagonal, 1, 4, 1, , 
numpy.core.fromnumeric.argsort, 1, 2, 1, , 
numpy.core.fromnumeric.argmin, 1, 2, 1, , 
numpy.core.fromnumeric.argmax, 1, 2, 1, , 
numpy.random.mtrand.random_sample, 1, 1, 1, , 
numpy.random.mtrand.uniform, 1, 3, 1, , 
numpy.random.mtrand.permutation, 1, 1, 1, , 
numpy.random.mtrand.standard_normal, 1, 1, 1, , 
numpy.random.mtrand.normal, 1, 3, 1, , 
numpy.random.mtrand.exponential, 1, 2, 1, , 
numpy.random.mtrand.beta, 1, 3, 1, , 
numpy.random.mtrand.gamma, 1, 3, 1, , 
numpy.random.mtrand.f, 1, 3, 1, , 
numpy.random.mtrand.noncentral_f, 1, 4, 1, , 
numpy.random.mtrand.chisquare, 1, 2, 1, , 
