function, function_count, top_num_args, top_num_args_count, top_keyword, top_keyword_count
scipy.linalg.blas.find_best_blas_type, 1, 1, 1, , 
scipy.interpolate.PPoly, 1, 2, 1, , 
scipy.interpolate.LSQBivariateSpline, 1, 5, 1, , 
scipy.linalg.companion, 1, 1, 1, , 
scipy.linalg.hadamard, 1, 1, 1, , 
scipy.linalg.hilbert, 1, 1, 1, , 
scipy.linalg.invhilbert, 1, 1, 1, , 
scipy.linalg.leslie, 1, 2, 1, , 
scipy.linalg.pascal, 1, 1, 1, , 
scipy.linalg.invpascal, 1, 1, 1, , 
scipy.linalg.tri, 1, 1, 1, , 
scipy.linalg.solve_toeplitz, 1, 2, 1, , 
scipy.signal.lsim2, 1, 3, 1, , 
scipy.signal.step, 1, 2, 1, T, 1
scipy.signal.impulse, 1, 2, 1, T, 1
scipy.signal.bode, 1, 1, 1, , 
scipy.signal.firls, 1, 3, 1, , 
scipy.sparse.linalg.matfuncs._onenorm, 1, 1, 1, , 
scipy.sparse.linalg.matfuncs._onenormest_matrix_power, 1, 2, 1, , 
scipy.stats.cauchy.cdf, 1, 3, 1, loc, 1
scipy.stats.cauchy.fit, 1, 3, 1, loc, 1
scipy.stats.ortho_group.rvs, 1, 1, 1, , 
scipy._lib._version.NumpyVersion, 1, 1, 1, , 
scipy._lib.decorator.decorate, 1, 2, 1, , 
scipy.linalg._interpolative.id_srand, 1, 1, 1, , 
scipy.linalg._interpolative.id_srandi, 1, 1, 1, , 
scipy.linalg._interpolative.id_srando, 1, 0, 1, , 
scipy.linalg._interpolative.idd_frm, 1, 3, 1, , 
scipy.linalg._interpolative.idd_sfrm, 1, 4, 1, , 
scipy.linalg._interpolative.idd_sfrmi, 1, 2, 1, , 
scipy.linalg._interpolative.iddp_id, 1, 2, 1, , 
scipy.linalg._interpolative.iddr_id, 1, 2, 1, , 
scipy.linalg._interpolative.idd_reconid, 1, 3, 1, , 
scipy.linalg._interpolative.idd_reconint, 1, 2, 1, , 
scipy.linalg._interpolative.idd_copycols, 1, 3, 1, , 
scipy.linalg._interpolative.idd_id2svd, 1, 3, 1, , 
scipy.linalg._interpolative.idd_snorm, 1, 5, 1, , 
scipy.linalg._interpolative.idd_diffsnorm, 1, 7, 1, , 
scipy.linalg._interpolative.iddr_svd, 1, 2, 1, , 
scipy.linalg._interpolative.iddp_svd, 1, 2, 1, , 
scipy.linalg._interpolative.iddp_aid, 1, 4, 1, , 
scipy.linalg._interpolative.idd_estrank, 1, 4, 1, , 
scipy.linalg._interpolative.iddp_asvd, 1, 4, 1, , 
scipy.linalg._interpolative.iddp_rid, 1, 5, 1, , 
scipy.linalg._interpolative.idd_findrank, 1, 4, 1, , 
