function, function_count, top_num_args, top_num_args_count, top_keyword, top_keyword_count
pymc3.variational.advi, 1, 2, 1, null, 1
pymc3.MvStudentT, 1, 5, 1, observed, 1
pymc3.step_methods.hmc.quadpotential.QuadPotentialFull, 1, 1, 1, , 
pymc3.util.update_start_vals, 1, 3, 1, , 
pymc3.theanof.inputvars, 1, 1, 1, , 
pymc3.model.Point, 1, 2, 1, model, 1
pymc3.blocking.DictToArrayBijection, 1, 2, 1, , 
pymc3.util.get_default_varnames, 1, 2, 1, , 
pymc3.gp.MarginalSparse, 1, 3, 1, approx, 1
pymc3.gp.util.kmeans_inducing_points, 1, 2, 1, X, 1
pymc3.MvNormal.dist, 1, 3, 1, chol, 1
pymc3.Mixture, 1, 4, 1, observed, 1
pymc3.math.sigmoid, 1, 1, 1, , 
pymc3.theanof.make_shared_replacements, 1, 2, 1, , 
pymc3.distributions.transforms.stick_breaking.backward, 1, 1, 1, , 
pymc3.backends.tracetab.create_flat_names, 1, 2, 1, , 
pymc3._log.warning, 1, 1, 1, , 
pymc3.plots.utils.make_2d, 1, 1, 1, , 
pymc3.plots.artists.histplot_op, 1, 3, 1, alpha, 1
pymc3.plots.artists.kdeplot_op, 1, 6, 1, , 
pymc3.Model.get_context, 1, 0, 1, , 
pymc3.DictToArrayBijection, 1, 2, 1, , 
pymc3.inputvars, 1, 1, 1, , 
pymc3.NoDistribution, 1, 4, 1, shape, 1
pymc3.advi, 1, 3, 1, n, 1
pymc3.util.is_transformed_name, 1, 1, 1, , 
pymc3.util.get_untransformed_name, 1, 1, 1, , 
pymc3.HamiltonianMC, 1, 7, 1, target_accept, 1
pymc3.ExGaussian, 1, 5, 1, shape, 1
pymc3.NormalMixture, 1, 5, 1, observed, 1
pymc3.ElemwiseCategorical, 1, 2, 1, values, 1
pymc3.df_summary, 1, 2, 1, varnames, 1
pymc3.Poisson, 1, 3, 1, observed, 1
pymc3.gp.cov.Periodic, 1, 3, 1, , 
pymc3.autocorrplot, 1, 1, 1, null, 1
pymc3.gp.cov.Matern52, 1, 2, 1, , 
pymc3.gp.Marginal, 1, 1, 1, cov_func, 1
pymc3.backends.Text, 1, 1, 1, , 
pymc3._log.setLevel, 1, 1, 1, , 
pymc3.stats.df_summary, 1, 2, 1, include_transformed, 1
pymc3.Beta.dist, 1, 2, 1, alpha, 1
pymc3.Bernoulli.dist, 1, 1, 1, p, 1
pymc3.distributions.dist_math.bound, 1, 3, 1, , 
pymc3.distributions.distribution.generate_samples, 1, 5, 1, low, 1
pymc3.BinaryGibbsMetropolis, 1, 1, 1, , 
pymc3.plots.summary, 1, 1, 1, , 
pymc3.starting.optimize.basinhopping, 1, 2, 1, null, 1
pymc3.step_methods.HamiltonianMC, 1, 1, 1, vars, 1
pymc3.step_methods.Metropolis, 1, 1, 1, vars, 1
pymc3.Bound, 2, 2, 1, lower, 2
pymc3.math.dot, 2, 2, 2, , 
pymc3.theanof.set_theano_conf, 2, 1, 2, , 
pymc3.step_methods.hmc.quadpotential.QuadPotentialDiag, 2, 1, 2, , 
pymc3.callbacks.CheckParametersConvergence, 2, 0, 2, , 
pymc3.gp.Latent, 2, 2, 2, cov_func, 2
pymc3.Normal.dist, 2, 2, 2, sd, 1
pymc3.math.tanh, 2, 1, 2, , 
pymc3.distributions.transforms.logodds.backward, 2, 1, 2, , 
pymc3.backends.base.MultiTrace, 2, 1, 2, , 
pymc3.distributions.continuous.Beta, 2, 3, 2, alpha, 2
pymc3.math.sum, 2, 1, 2, , 
pymc3.InverseGamma, 2, 3, 2, , 
pymc3.Lognormal, 2, 2, 2, tau, 2
pymc3.T, 2, 5, 2, lam, 2
pymc3.distributions.draw_values, 3, 2, 2, point, 2
pymc3.trace_to_dataframe, 3, 1, 3, , 
pymc3.ADVI, 3, 0, 3, , 
pymc3.gp.mean.Zero, 3, 0, 3, , 
pymc3.gp.mean.Constant, 3, 1, 3, c, 3
pymc3.distributions.transforms.interval, 3, 2, 3, , 
pymc3.MvNormal, 4, 4, 4, mu, 4
pymc3.distributions.generate_samples, 4, 4, 3, size, 4
pymc3.fit, 4, 2, 3, method, 3
pymc3.Categorical, 4, 4, 2, observed, 3
pymc3.Exponential, 4, 2, 2, shape, 2
pymc3.Flat, 4, 5, 3, shape, 4
