function, function_count, top_num_args, top_num_args_count, top_keyword, top_keyword_count
skimage.data.checkerboard, 1, 0, 1, , 
skimage.transform.matrix_transform, 1, 2, 1, , 
skimage.transform.PiecewiseAffineTransform, 1, 0, 1, , 
skimage.draw.polygon_perimeter, 1, 3, 1, shape, 1
skimage.filters.rank.gradient, 1, 2, 1, , 
skimage.filters.median, 1, 3, 1, mask, 1
skimage.util.pad, 1, 3, 1, , 
skimage.segmentation.join_segmentations, 1, 2, 1, , 
skimage.util.crop, 1, 2, 1, , 
skimage.restoration.denoise_nl_means, 1, 6, 1, patch_size, 1
skimage.util.img_as_uint, 1, 1, 1, , 
skimage.segmentation.felzenszwalb, 1, 4, 1, min_size, 1
skimage.exposure.adjust_sigmoid, 1, 4, 1, cutoff, 1
skimage.feature.greycoprops, 1, 2, 1, , 
skimage.morphology.rectangle, 1, 2, 1, , 
skimage.draw.circle_perimeter_aa, 1, 4, 1, shape, 1
skimage.draw.set_color, 1, 4, 1, alpha, 1
skimage.img_as_uint, 1, 1, 1, , 
skimage.future.graph.RAG, 1, 1, 1, , 
skimage.transform.hough_circle_peaks, 1, 3, 1, total_num_peaks, 1
skimage.measure.points_in_poly, 1, 2, 1, , 
skimage.io.imread_collection, 1, 1, 1, , 
skimage.graph.MCP_Geometric, 1, 3, 1, null, 1
skimage.transform.estimate_transform, 1, 4, 1, null, 1
skimage.filter.threshold_otsu, 1, 1, 1, , 
skimage.io.use_plugin, 1, 1, 1, , 
skimage.morphology.octahedron, 1, 1, 1, , 
skimage.external.tifffile.TiffFile, 1, 2, 1, fastij, 1
skimage.transform._warps_cy._warp_fast, 1, 6, 1, mode, 1
skimage.segmentation.random_walker, 1, 3, 1, mode, 1
skimage.filters.rank.minimum, 1, 2, 1, , 
skimage.filters.rank.maximum, 1, 2, 1, , 
skimage.measure.compare_psnr, 1, 3, 1, data_range, 1
skimage.color.hsv2rgb, 1, 1, 1, , 
skimage.color.rgb2grey, 1, 1, 1, , 
skimage.filter.canny, 1, 2, 1, sigma, 1
skimage.util.regular_grid, 1, 2, 1, , 
skimage.feature.hessian_matrix, 1, 2, 1, sigma, 1
skimage.feature.hessian_matrix_eigvals, 1, 1, 1, , 
skimage.util.unique_rows, 1, 1, 1, , 
skimage.segmentation.active_contour, 1, 10, 1, convergence, 1
skimage.measure.fit.EllipseModel, 1, 0, 1, , 
skimage.measure.ransac, 1, 5, 1, min_samples, 1
skimage.draw.line_aa, 1, 4, 1, , 
skimage.morphology.binary.binary_dilation, 1, 1, 1, , 
skimage.data.text, 1, 0, 1, , 
skimage.filters.threshold_adaptive, 1, 3, 1, , 
skimage.feature.corner_peaks, 1, 3, 1, min_distance, 1
skimage.restoration.denoise_tv_chambolle, 2, 3, 2, multichannel, 2
skimage.util.invert, 2, 1, 2, , 
skimage.measure.perimeter, 2, 2, 1, neighbourhood, 1
skimage.morphology.white_tophat, 2, 2, 2, selem, 2
skimage.morphology.skeletonize_3d, 2, 1, 2, , 
skimage.morphology.skeletonize, 2, 1, 2, , 
skimage.filters.rank.otsu, 2, 3, 2, mask, 2
skimage.transform.downscale_local_mean, 2, 2, 2, , 
skimage.feature.local_binary_pattern, 2, 3, 1, method, 1
skimage.exposure.adjust_gamma, 2, 3, 2, , 
skimage.transform.ProjectiveTransform, 2, 0, 2, , 
skimage.feature.hog, 2, 8, 1, orientations, 2
skimage.morphology.diamond, 2, 1, 2, , 
skimage.filter.rank.median, 2, 3, 2, mask, 2
