function, function_count, top_num_args, top_num_args_count, top_keyword, top_keyword_count
sklearn.feature_extraction.image.extract_patches_2d, 1, 2, 1, , 
sklearn.grid_search._check_param_grid, 1, 1, 1, , 
sklearn.feature_extraction.text.strip_accents_unicode, 1, 1, 1, , 
sklearn.covariance.GraphicalLassoCV, 1, 1, 1, cv, 1
sklearn.covariance.empirical_covariance, 1, 1, 1, , 
sklearn.covariance.shrunk_covariance, 1, 2, 1, shrinkage, 1
sklearn.covariance.GraphicalLasso, 1, 1, 1, , 
sklearn.cluster.SpectralClustering, 1, 5, 1, affinity, 1
sklearn.linear_model.enet_path, 1, 7, 1, l1_ratio, 1
sklearn.metrics.regression._check_reg_targets, 1, 3, 1, , 
sklearn.metrics.regression.check_consistent_length, 1, 3, 1, , 
sklearn.utils.indices_to_mask, 1, 2, 1, , 
sklearn.cluster.ward_tree, 1, 3, 1, connectivity, 1
sklearn.metrics.median_absolute_error, 1, 2, 1, , 
sklearn.datasets.svmlight_format.dump_svmlight_file, 1, 3, 1, , 
sklearn.feature_extraction.image.grid_to_graph, 1, 3, 1, n_x, 1
sklearn.utils.linear_assignment_.linear_assignment, 1, 1, 1, , 
sklearn.model_selection.validation_curve, 1, 8, 1, n_jobs, 1
sklearn.utils.validation.has_fit_parameter, 1, 2, 1, , 
sklearn.metrics.classification._check_targets, 1, 2, 1, , 
sklearn.externals.funcsigs.signature, 1, 1, 1, , 
sklearn.metrics.classification.precision_recall_fscore_support, 1, 5, 1, average, 1
sklearn.metrics.get_scorer, 1, 1, 1, , 
sklearn.preprocessing.data._transform_selected, 1, 4, 1, copy, 1
sklearn.linear_model.RandomizedLogisticRegression, 1, 1, 1, C, 1
sklearn.datasets.make_swiss_roll, 1, 3, 1, noise, 1
sklearn.cross_validation.cross_val_predict, 1, 4, 1, cv, 1
sklearn.neighbors.BallTree, 1, 2, 1, metric, 1
sklearn.mixture._validate_covars, 1, 3, 1, , 
sklearn.mixture.log_multivariate_normal_density, 1, 4, 1, , 
sklearn.mixture.sample_gaussian, 1, 4, 1, random_state, 1
sklearn.multioutput.MultiOutputRegressor, 1, 1, 1, , 
sklearn.model_selection._validation.check_cv, 1, 3, 1, classifier, 1
sklearn.utils.issparse, 1, 1, 1, , 
sklearn.metrics.normalized_mutual_info_score, 1, 2, 1, , 
sklearn.decomposition.DictionaryLearning, 1, 6, 1, n_jobs, 1
sklearn.utils.sparsefuncs.inplace_row_scale, 1, 2, 1, , 
sklearn.utils.sparsefuncs.inplace_column_scale, 1, 2, 1, , 
sklearn.__version__.split, 1, 1, 1, , 
sklearn.linear_model.lars_path, 1, 4, 1, verbose, 1
sklearn.metrics.scorer.make_scorer, 1, 1, 1, , 
sklearn.kernel_ridge.KernelRidge, 1, 3, 1, kernel, 1
sklearn.utils.fixes.frombuffer_empty, 1, 2, 1, dtype, 1
sklearn.feature_extraction.text._document_frequency, 1, 1, 1, , 
sklearn.utils.sparsefuncs.mean_variance_axis, 1, 2, 1, axis, 1
sklearn.linear_model.RANSACRegressor, 1, 0, 1, , 
sklearn.metrics.brier_score_loss, 1, 2, 1, , 
sklearn.decomposition.RandomizedPCA, 1, 1, 1, n_components, 1
sklearn.naive_bayes.ComplementNB, 1, 1, 1, alpha, 1
sklearn.neighbors.LocalOutlierFactor, 1, 1, 1, contamination, 1
sklearn.naive_bayes.BernoulliNB, 1, 0, 1, , 
sklearn.__version__.decode, 1, 1, 1, , 
sklearn.metrics.append, 1, 1, 1, , 
sklearn.model_selection._validation._fit_and_score, 1, 10, 1, y, 1
sklearn.model_selection._search.check_cv, 1, 3, 1, y, 1
sklearn.covariance.fast_mcd, 1, 2, 1, random_state, 1
sklearn.covariance.oas, 1, 1, 1, , 
sklearn.model_selection._split.StratifiedKFold, 1, 1, 1, , 
sklearn.model_selection._split.KFold, 1, 1, 1, , 
sklearn.model_selection.ParameterSampler, 1, 3, 1, random_state, 1
sklearn.ensemble.forest.RandomForestClassifier, 1, 5, 1, n_jobs, 1
sklearn.linear_model.logistic.LogisticRegressionCV, 1, 3, 1, Cs, 1
sklearn.model_selection._split._build_repr, 1, 1, 1, , 
sklearn.manifold.LocallyLinearEmbedding, 1, 4, 1, null, 1
sklearn.manifold.Isomap, 1, 3, 1, null, 1
sklearn.manifold.SpectralEmbedding, 1, 3, 1, null, 1
sklearn.datasets.mldata.fetch_mldata, 1, 1, 1, , 
sklearn.feature_extraction.TfidfVectorizer, 1, 0, 1, , 
sklearn.utils.check_symmetric, 1, 2, 1, raise_exception, 1
sklearn.isotonic.IsotonicRegression, 1, 0, 1, , 
sklearn.cross_validation.Bootstrap, 1, 3, 1, train_size, 1
sklearn.cross_validation.LeaveOneOut, 1, 1, 1, , 
sklearn.model_selection._split._CVIterableWrapper, 1, 1, 1, , 
sklearn.covariance.GraphLasso, 1, 2, 1, max_iter, 1
sklearn.model_selection.LeaveOneGroupOut, 1, 0, 1, , 
sklearn.utils.murmurhash3_32, 1, 2, 1, positive, 1
sklearn.decomposition.__getattribute__, 1, 1, 1, , 
sklearn.preprocessing.add_dummy_feature, 1, 1, 1, , 
sklearn.utils.safe_mask, 1, 2, 1, , 
sklearn.utils.compute_class_weight, 1, 3, 1, , 
sklearn.grid_search.RandomizedSearchCV, 1, 4, 1, param_distributions, 1
sklearn.gaussian_process.kernels.RationalQuadratic, 1, 2, 1, alpha, 1
sklearn.gaussian_process.kernels.ExpSineSquared, 1, 2, 1, length_scale, 1
sklearn.metrics.pairwise.pairwise_distances_argmin_min, 1, 3, 1, metric, 1
sklearn.utils.extmath.cartesian, 1, 1, 1, , 
sklearn.cluster.MeanShift, 1, 1, 1, bin_seeding, 1
sklearn.impute.MissingIndicator, 1, 3, 1, features, 1
sklearn.preprocessing.PowerTransformer, 1, 2, 1, standardize, 1
sklearn.preprocessing.QuantileTransformer, 1, 4, 1, n_quantiles, 1
sklearn.utils.extmath.randomized_svd, 1, 4, 1, random_state, 1
sklearn.externals.six.moves.configparser.RawConfigParser, 1, 0, 1, , 
sklearn.utils.extmath.softmax, 1, 1, 1, , 
sklearn.qda.QDA, 1, 0, 1, , 
sklearn.ensemble.BaggingRegressor, 1, 0, 1, , 
sklearn.multioutput.MultiOutputClassifier, 1, 1, 1, , 
